SKU,Barcode,Name,Price
645,7802575134042,Fideos Tallarines 87 Parma 400g,1000
646,7802575133045,Fideos Corbatas Parma 400g,1000
647,7802626100026,Harina sin polvo para hornear Collico 1kg,1300
648,7801305003191,Champiñones laminados Wasil 400g,2200
649,7801305001883,Palmitos en rodajas Wasil 400g,2600
650,7801305001517,Piña en trocitos Wasil 565g,2200
651,7801305100050,Piña en rodajas Wasil 560g,2200
652,7809637200219,Lentejas Oregon 1kg,3200
653,7804658860398,Arroz El Monarca 1kg,0
654,7790070509062,Yerba Mate con Boldo y Menta Cruz de Malta 500g,4450
655,7801505231912,Azúcar blanca granulada Iansa 1kg,1800
656,55500011445,Cloro en Spray antihongos Clorox 500g,2300
657,7502214739620,Maquina Desechable de afeitar 4 hojas Quattro4 for Women Schick 1unidades,1400
658,4891228530136,Maquina Desechable de afeitar 4 hojas Quattro4 Titanium Schick 1unidades,1400
659,7702018880409,Maquina Desechable de afeitar 3 hojas Gillette Prestobarba 1unidad,1300
660,7591066721020,Maquina Desechable de afeitar 3 hojas Xtreme Schick 1unidad,1000
661,75903565,Repuesto 3hojas doblefilo Super Chromium Schick 3unidades,1000
662,78016118,Maquina Desechable de afeitar 2 hojas Wilkinson Sword 1unidad,1000
663,7500435125567,Repuesto para afeitar Gillete Fusión 5 2unidades,5500
664,7793620003546,Protector Diario Mujer Kotex 20unidades,1100
665,7702425802735,Protector Nocturno Mujer Kotex 8unidades,1300
666,7806500962809,Protector Nocturno Mujer Ladysoft 7unidades,1400
667,7790250096061,Protector Ultradelgado Mujer Ladysoft 8unidades,1300
668,7809604028464,Protector Antibacterial Mujer Kotex 40unidades,1900
669,7794626010811,Protector ExtraProteccion 3x Mujer Kotex 8unidades,1300
670,7702026180287,Protector Nocturno suave Mujer Nosotras 8unidades,1300
671,7730963251029,Preservativos Ultrasensible Prudence 3unidades,2200
672,7730963250336,Preservativos Neon Prudence 3unidades,2200
673,7730963251067,Preservativos sabor tutti-frutti Prudence 3unidades,2200
674,7730963251012,Preservativos clásico Prudence 3unidades,2200
675,7790520995377,Tabletas insecticida repelente contra mosquito y zancudos Raid 12unidades,3200
676,22200963695,Desodorante en barra Invisible Dry LadySpeedStick 39.6g,2700
677,7509546004471,Desodorante en barra 48h Wild Freesia LadySpeedStick 45g,2700
678,7509546067940,Desodorante en barra 48h derma Renueva LadySpeedStick 45g,2700
679,7509546060460,Desodorante en barra 48h Power Fresh LadySpeedStick 45g,2700
680,7509546029146,Desodorante en barra 48h 24/7 Ultra seca y protegida LadySpeedStick 45g,2700
681,75062842,Desodorante en barra Invisible Dry Dove 45g,2400
682,75062828,Desodorante en barra tono uniforme Dove 45g,2400
